~id,~label,account_id:String,user_id:String,country:String,channel:String,kyc_level:String,status:String,is_fraud:Int,risk_score:Double
A_8P58M1MHJN,account,A_8P58M1MHJN,U_6WKTAKPUXQ,IN,web,basic,active,0,0.0
A_PUWSXVTI2V,account,A_PUWSXVTI2V,U_PHR62GDSWM,US,mobile,basic,active,0,0.0
A_ZSLWEUZ1KH,account,A_ZSLWEUZ1KH,U_31YIHAIR4C,GB,web,basic,active,1,0.0
A_6ZJ6ML55UQ,account,A_6ZJ6ML55UQ,U_OWGZRIXA11,US,api,basic,active,0,0.0
A_F6T8RBA2FY,account,A_F6T8RBA2FY,U_DPG8SBI4Q2,DE,mobile,basic,active,0,0.0
A_WQ7AN7P72I,account,A_WQ7AN7P72I,U_Y9V86WZS3T,IN,mobile,basic,active,0,0.0
A_2XP3RCXUOX,account,A_2XP3RCXUOX,U_60RJIW1SWJ,US,web,basic,active,0,0.0
A_WKR38K2D0J,account,A_WKR38K2D0J,U_CKJLTEIYZC,AU,web,full,active,0,0.0
A_RSUFV3DZWA,account,A_RSUFV3DZWA,U_OTOHP6VZ41,DE,api,full,active,0,0.0
A_YB2DP63QWB,account,A_YB2DP63QWB,U_NAM148P0TV,BR,mobile,basic,active,0,0.0
A_9LISYBW6MZ,account,A_9LISYBW6MZ,U_HHPBMYOFQE,AU,web,basic,active,0,0.0
A_L7KENH3I6W,account,A_L7KENH3I6W,U_WAOUAXEQBN,IN,mobile,none,active,0,0.0
A_655MUBZU2U,account,A_655MUBZU2U,U_HL1N13JCAT,CA,api,basic,active,0,0.0
A_DBPBX2X02B,account,A_DBPBX2X02B,U_9MX2X18HAF,FR,web,full,active,0,0.0
A_WU5K78Y0WH,account,A_WU5K78Y0WH,U_EYUHZ1GV0E,US,api,full,active,0,0.0
A_ZX7ZB146DZ,account,A_ZX7ZB146DZ,U_EYUHZ1GV0E,US,api,full,active,0,0.0
A_3D4F2Y5XU8,account,A_3D4F2Y5XU8,U_38DALY8OZC,DE,web,basic,active,0,0.0
A_TN9XED3A27,account,A_TN9XED3A27,U_38DALY8OZC,DE,web,basic,active,0,0.0
A_7ITIOURAY2,account,A_7ITIOURAY2,U_YWD14VE92M,US,api,full,active,0,0.0
A_Q5IMLX6VYM,account,A_Q5IMLX6VYM,U_PNSM43D8W3,CA,mobile,full,active,0,0.0
A_YSI9ZF3XIZ,account,A_YSI9ZF3XIZ,U_ZP08J3TRP0,US,mobile,full,active,0,0.0
A_CCWWJABXXW,account,A_CCWWJABXXW,U_J43D5IQVNB,DE,api,full,active,0,0.0
A_1E6WWI825D,account,A_1E6WWI825D,U_4GH2M5ZJA8,CA,web,basic,active,0,0.0
A_4RH7GN938K,account,A_4RH7GN938K,U_4GH2M5ZJA8,CA,web,basic,active,0,0.0
A_4YUOWZIUT0,account,A_4YUOWZIUT0,U_DZR1YXR2DH,FR,api,full,active,0,0.0
A_AA79Z67YYK,account,A_AA79Z67YYK,U_YLURTP0LZJ,US,api,basic,active,0,0.0
A_TLVAJN23T8,account,A_TLVAJN23T8,U_YLURTP0LZJ,US,api,basic,active,0,0.0
A_9YG0QLWE10,account,A_9YG0QLWE10,U_YLURTP0LZJ,US,api,basic,active,0,0.0
A_7TUA9GYDBX,account,A_7TUA9GYDBX,U_JEGET1GHR0,FR,web,full,active,0,0.0
A_SC965QV3Q9,account,A_SC965QV3Q9,U_JEGET1GHR0,FR,web,full,active,0,0.0
A_FHCC1P7XHZ,account,A_FHCC1P7XHZ,U_9SKDGIGATJ,IN,web,basic,active,0,0.0
A_FDNPTWEFKF,account,A_FDNPTWEFKF,U_9TZE5R5UQP,AU,api,basic,active,0,0.0
A_HN6MGWNOMF,account,A_HN6MGWNOMF,U_GB7R3OCWBF,DE,api,full,active,0,0.0
A_8V04B6U5CK,account,A_8V04B6U5CK,U_UK9E1V2ISQ,AU,mobile,none,active,0,0.0
A_71PHQUZ3MP,account,A_71PHQUZ3MP,U_UK9E1V2ISQ,AU,mobile,none,active,0,0.0
A_1MPLRPMXYR,account,A_1MPLRPMXYR,U_P49KWV08HH,CA,mobile,basic,active,0,0.0
A_LU57BQ0U75,account,A_LU57BQ0U75,U_XFGCAQVKIZ,DE,mobile,basic,active,0,0.0
A_DVAW54OQLF,account,A_DVAW54OQLF,U_XFGCAQVKIZ,DE,mobile,basic,active,0,0.0
A_NVWB0B1YOA,account,A_NVWB0B1YOA,U_ZQY72WX7PT,AU,web,full,active,0,0.0
A_HZ3GNZDFQA,account,A_HZ3GNZDFQA,U_X63CFL0UKE,GB,api,basic,active,0,0.0
A_AWGGG1IAUY,account,A_AWGGG1IAUY,U_YZ7SRCBPLJ,DE,web,basic,active,0,0.0
A_J395ERI8D5,account,A_J395ERI8D5,U_YZ7SRCBPLJ,DE,web,basic,active,0,0.0
A_QVQDYEVLN2,account,A_QVQDYEVLN2,U_D84U89YJB1,FR,mobile,none,active,0,0.0
A_I9L69ISXUW,account,A_I9L69ISXUW,U_QX6GVWRDML,CA,api,basic,active,0,0.0
A_Y4CVIM1XZF,account,A_Y4CVIM1XZF,U_Y4LYK83TQL,GB,web,basic,active,0,0.0
A_ZXLEAYCDY1,account,A_ZXLEAYCDY1,U_L8OS9XTOGN,AU,api,none,active,0,0.0
A_ICC6PH4UVD,account,A_ICC6PH4UVD,U_1W1HT7PZE9,DE,web,basic,active,0,0.0
A_LAY1VO4WQX,account,A_LAY1VO4WQX,U_VIFTTD96QE,DE,api,full,active,0,0.0
A_C4NR1H69M0,account,A_C4NR1H69M0,U_3RZSJ49ITN,IN,mobile,basic,active,0,0.0
A_DZFY635GW8,account,A_DZFY635GW8,U_3RZSJ49ITN,IN,mobile,basic,active,0,0.0
A_JBQPLBNE9E,account,A_JBQPLBNE9E,U_7S55J2O7S3,IN,mobile,basic,active,0,0.0
A_UQ419943UN,account,A_UQ419943UN,U_7S55J2O7S3,IN,mobile,basic,active,0,0.0
A_9YDYVE13GT,account,A_9YDYVE13GT,U_KKV9RFTMTT,IN,web,basic,active,0,0.0
A_H4L1M3TFQC,account,A_H4L1M3TFQC,U_QLGZUI1B0Z,GB,api,basic,active,0,0.0
A_U45O4DNUYJ,account,A_U45O4DNUYJ,U_3NX39RBSV5,CA,api,basic,active,0,0.0
A_PASGPAGI3X,account,A_PASGPAGI3X,U_5PSQ0OXFQ8,FR,api,basic,active,0,0.0
A_71J9ZND8QZ,account,A_71J9ZND8QZ,U_MYX444NLZ1,DE,api,full,active,0,0.0
A_JHMWPHM5ZJ,account,A_JHMWPHM5ZJ,U_MYX444NLZ1,DE,api,full,active,0,0.0
A_ITRZRAUD2Y,account,A_ITRZRAUD2Y,U_MYX444NLZ1,DE,api,full,active,0,0.0
A_EI2V57HDIJ,account,A_EI2V57HDIJ,U_5BCW790PDW,DE,api,full,active,0,0.0
A_AQ1DRRVI0R,account,A_AQ1DRRVI0R,U_5PY6B2KNFT,CA,api,basic,active,0,0.0
A_X40G8GBSF5,account,A_X40G8GBSF5,U_U2GC5WI6FQ,AU,api,full,active,0,0.0
A_KK3ILVS5UO,account,A_KK3ILVS5UO,U_JJA26YFPMV,GB,web,basic,active,0,0.0
A_VR2BKF59VA,account,A_VR2BKF59VA,U_XPJ4HNRIUU,BR,web,none,active,0,0.0
A_SFJDBE2X8I,account,A_SFJDBE2X8I,U_9K9XJUY0BV,GB,api,none,active,0,0.0
A_IRJJI6CMYU,account,A_IRJJI6CMYU,U_R6K2VMWWYZ,CA,mobile,basic,active,0,0.0
A_ZXRI7SIS1B,account,A_ZXRI7SIS1B,U_X4W6XLPU0D,BR,mobile,basic,active,0,0.0
A_4W7RPNKGD8,account,A_4W7RPNKGD8,U_K0GET8T63J,CA,api,basic,active,0,0.0
A_WPBEDEA4XP,account,A_WPBEDEA4XP,U_3R30ME8F84,BR,web,full,active,0,0.0
A_YHFUEZ5LWD,account,A_YHFUEZ5LWD,U_0982N2ATQY,DE,api,full,active,0,0.0
A_J7N795UAEU,account,A_J7N795UAEU,U_YV37DIA5U6,CA,api,full,active,0,0.0
A_K77JJ6V0PM,account,A_K77JJ6V0PM,U_HC36KOF8KR,IN,web,basic,active,0,0.0
A_4X1KJ49YQM,account,A_4X1KJ49YQM,U_D5EQY08P0F,CA,mobile,full,active,0,0.0
A_UV73L5KKYN,account,A_UV73L5KKYN,U_ODRO8BNP84,GB,mobile,none,active,0,0.0
A_S20FE51T2K,account,A_S20FE51T2K,U_DYT9MOGE4Q,AU,mobile,full,active,0,0.0
A_55V6J9RUFI,account,A_55V6J9RUFI,U_XXVA2IEUC1,CA,api,full,active,0,0.0
A_D1ZWRJHHR6,account,A_D1ZWRJHHR6,U_XXVA2IEUC1,CA,api,full,active,0,0.0
A_0909JFJFL1,account,A_0909JFJFL1,U_HH5LF6A4FE,DE,mobile,full,active,0,0.0
A_Z4YJDKEI5Q,account,A_Z4YJDKEI5Q,U_HH5LF6A4FE,DE,mobile,full,active,0,0.0
A_BKCRHR7BPF,account,A_BKCRHR7BPF,U_JGXAA2ILGB,DE,api,none,active,0,0.0
A_7VXTRQINDA,account,A_7VXTRQINDA,U_0S0R2SDS8B,GB,api,basic,active,0,0.0
A_6GXNYT2GOI,account,A_6GXNYT2GOI,U_0S0R2SDS8B,GB,api,basic,active,0,0.0
A_SK9150UMSZ,account,A_SK9150UMSZ,U_25SQ8CROYR,AU,web,none,active,0,0.0
A_SZDED8WGE3,account,A_SZDED8WGE3,U_6CCVCJWTL9,IN,api,basic,active,0,0.0
A_IEXOGXVX9M,account,A_IEXOGXVX9M,U_TQVDZ4X1ZH,CA,api,basic,active,0,0.0
A_HKYZ1QWJ35,account,A_HKYZ1QWJ35,U_QIMQODPXNF,AU,mobile,full,active,0,0.0
A_GF1384BAXY,account,A_GF1384BAXY,U_7C3DD03UVU,IN,api,none,active,0,0.0
A_INHKIXXX1G,account,A_INHKIXXX1G,U_LEMX15Z8VM,CA,api,basic,active,0,0.0
A_RIUBR6D6NW,account,A_RIUBR6D6NW,U_UHXID4N1U3,AU,api,basic,active,0,0.0
A_7PVCF4US3G,account,A_7PVCF4US3G,U_493WXA73JG,US,mobile,full,active,0,0.0
A_9KWGBNU3M3,account,A_9KWGBNU3M3,U_ZLMA5UOFWB,GB,mobile,full,active,0,0.0
A_HD1QSMPM67,account,A_HD1QSMPM67,U_0HPMNZ1UDB,FR,mobile,basic,active,0,0.0
A_BNKAFPCXED,account,A_BNKAFPCXED,U_0HPMNZ1UDB,FR,mobile,basic,active,0,0.0
A_MQD9ANOTQL,account,A_MQD9ANOTQL,U_FWYJXRPJ1E,FR,web,none,active,0,0.0
A_299IJ283DY,account,A_299IJ283DY,U_PKYRYBOVAK,IN,mobile,basic,active,0,0.0
A_2NCN47DVCF,account,A_2NCN47DVCF,U_HEJLA0GNZS,DE,web,full,active,0,0.0
A_G48LEFX70H,account,A_G48LEFX70H,U_43C5BA75UU,FR,mobile,basic,active,0,0.0
A_BNIAB2YU7Y,account,A_BNIAB2YU7Y,U_ZPEAL2W37D,GB,web,none,active,0,0.0
A_5FFK6O81YR,account,A_5FFK6O81YR,U_4IVSOLMLGS,DE,web,basic,active,0,0.0
A_3PDN68BNI9,account,A_3PDN68BNI9,U_ES6M033IFH,BR,mobile,full,active,0,0.0
A_F7P9JP50EO,account,A_F7P9JP50EO,U_V1XG1R11Q7,BR,web,basic,active,0,0.0
A_ORXVJM171K,account,A_ORXVJM171K,U_UWW5WFCPKJ,CA,mobile,basic,active,0,0.0
A_YM2J9NVTNI,account,A_YM2J9NVTNI,U_CSLQC3C54W,BR,mobile,full,active,0,0.0
A_W7XOZG42W6,account,A_W7XOZG42W6,U_SQT26Q3XLR,CA,web,basic,active,0,0.0
A_CPENM5UN7D,account,A_CPENM5UN7D,U_FCD6MZSGIP,AU,web,none,active,0,0.0
A_KGAMYJ4Q9C,account,A_KGAMYJ4Q9C,U_PSFNKOMV2X,FR,web,full,active,0,0.0
A_OTTSMZNMS8,account,A_OTTSMZNMS8,U_CDYK0X65MU,GB,web,basic,active,0,0.0
A_PLWQ1QU1RE,account,A_PLWQ1QU1RE,U_FM8ZOV7LN2,DE,mobile,basic,active,0,0.0
A_7WXC1KNGRO,account,A_7WXC1KNGRO,U_FM8ZOV7LN2,DE,mobile,basic,active,0,0.0
A_VRYL36Q556,account,A_VRYL36Q556,U_3Y30YSXPNN,DE,mobile,full,active,0,0.0
A_71I1DTTOPY,account,A_71I1DTTOPY,U_3Y30YSXPNN,DE,mobile,full,active,0,0.0
A_JD466Y42OC,account,A_JD466Y42OC,U_GH8RIEC4D1,FR,mobile,full,active,0,0.0
A_WFMH6AAF28,account,A_WFMH6AAF28,U_GH8RIEC4D1,FR,mobile,full,active,0,0.0
A_5XGC14MCHG,account,A_5XGC14MCHG,U_GH8RIEC4D1,FR,mobile,full,active,0,0.0
A_ZNHWCLO2D8,account,A_ZNHWCLO2D8,U_45BM1ENF31,AU,web,basic,active,0,0.0
A_Z3XCCPL8N2,account,A_Z3XCCPL8N2,U_3FPOYIPK0Q,US,mobile,basic,active,0,0.0
A_F01SVB8Q35,account,A_F01SVB8Q35,U_TL3Q4N89QK,GB,web,basic,active,0,0.0
A_8RWDJ4VTRZ,account,A_8RWDJ4VTRZ,U_NS832EJX5T,DE,web,basic,active,0,0.0
A_HW922QVROB,account,A_HW922QVROB,U_D44K1J6FP8,FR,api,none,active,0,0.0
A_AOVXPKAYBS,account,A_AOVXPKAYBS,U_HQMABSI9NB,FR,api,basic,active,0,0.0
A_NY2N5TNA62,account,A_NY2N5TNA62,U_74X2EK3ZEZ,US,web,basic,active,0,0.0
A_BR3D71EEZU,account,A_BR3D71EEZU,U_74X2EK3ZEZ,US,web,basic,active,0,0.0
A_57BD0E8C6T,account,A_57BD0E8C6T,U_QACJ4T0SEK,FR,api,none,active,0,0.0
A_0U20E26PSR,account,A_0U20E26PSR,U_KBP2QD6VAS,GB,web,basic,active,0,0.0
A_B9KKC21P4U,account,A_B9KKC21P4U,U_KBP2QD6VAS,GB,web,basic,active,0,0.0
A_NUJE8VLWEQ,account,A_NUJE8VLWEQ,U_IFPWIOXD9C,US,web,none,active,0,0.0
A_C5A23JK3OL,account,A_C5A23JK3OL,U_SS9TOQW9JA,DE,mobile,full,active,0,0.0
A_Z7FZ4X264J,account,A_Z7FZ4X264J,U_2M0W10LBT3,IN,mobile,full,active,0,0.0
A_BZ8W8A5K8X,account,A_BZ8W8A5K8X,U_G2QZW3C1QK,US,web,none,active,0,0.0
A_PINIXWKP74,account,A_PINIXWKP74,U_BHB7S9TJ1G,GB,web,basic,active,0,0.0
A_FFOYWWADSQ,account,A_FFOYWWADSQ,U_M25LEN606N,CA,web,basic,active,0,0.0
A_KSGSRA6WB4,account,A_KSGSRA6WB4,U_9RR7S20CV3,BR,mobile,basic,active,0,0.0
A_WIZ6P51PUB,account,A_WIZ6P51PUB,U_TLCXLVPYMB,BR,api,none,active,0,0.0
A_8Z48LVC9B2,account,A_8Z48LVC9B2,U_5M9J98CWN2,GB,web,basic,active,0,0.0
A_EO3V598W40,account,A_EO3V598W40,U_5M9J98CWN2,GB,web,basic,active,0,0.0
A_MQ8I3WEHGS,account,A_MQ8I3WEHGS,U_Y8FV2BC2NN,FR,api,none,active,0,0.0
A_H4S41F2GQN,account,A_H4S41F2GQN,U_UVY8N1UTOX,FR,api,basic,active,0,0.0
A_J0WE511KPK,account,A_J0WE511KPK,U_UVY8N1UTOX,FR,api,basic,active,0,0.0
A_XG0ZFDKNL4,account,A_XG0ZFDKNL4,U_IE0RNUJJQ9,FR,web,basic,active,0,0.0
A_K6H9G9EI2L,account,A_K6H9G9EI2L,U_K6RE4Q6QDY,IN,web,basic,active,0,0.0
A_HNSFE1V0ON,account,A_HNSFE1V0ON,U_4LMCT64Z7W,BR,mobile,basic,active,0,0.0
A_YK6FA2HZTE,account,A_YK6FA2HZTE,U_2SEHE2ATN2,DE,mobile,basic,active,0,0.0
A_3QO2CNQ8DL,account,A_3QO2CNQ8DL,U_TWDL9ZS13C,GB,api,basic,active,0,0.0
A_EC0TW4HMVF,account,A_EC0TW4HMVF,U_9XQYM52XG8,US,api,basic,active,0,0.0
A_ET57MUCHV5,account,A_ET57MUCHV5,U_P6BEFFLZM7,AU,mobile,full,active,0,0.0
A_A53V2E5NB7,account,A_A53V2E5NB7,U_64JWTEKTSG,US,api,full,active,0,0.0
A_3CX4KAFREA,account,A_3CX4KAFREA,U_7FXZV4U3BB,CA,mobile,basic,active,0,0.0
A_MUFXWT4SNH,account,A_MUFXWT4SNH,U_XUX1OXRWK8,BR,mobile,basic,active,0,0.0
A_53PIXDI0QI,account,A_53PIXDI0QI,U_R2YKCCPRHV,BR,web,none,active,0,0.0
A_S459JJ9GZK,account,A_S459JJ9GZK,U_LZ049ENULQ,GB,web,none,active,0,0.0
A_H2Y205KH04,account,A_H2Y205KH04,U_JIDKNWI5FL,CA,mobile,basic,active,0,0.0
A_5CRZETVLLB,account,A_5CRZETVLLB,U_UL1RSRLA8S,AU,api,basic,active,0,0.0
A_KRI2K5ESV2,account,A_KRI2K5ESV2,U_8HMBR5XQT4,DE,api,basic,active,0,0.0
A_XMV6UVG7KM,account,A_XMV6UVG7KM,U_P501NOUHTC,FR,web,basic,active,0,0.0
A_AXKEAKVOD3,account,A_AXKEAKVOD3,U_S1K9YE9O2M,DE,web,none,active,0,0.0
A_QLKH0XZPWN,account,A_QLKH0XZPWN,U_71HSSBELRQ,DE,api,basic,active,0,0.0
A_9PG2IMI74B,account,A_9PG2IMI74B,U_VSLWF90KM3,BR,api,basic,active,0,0.0
A_X07V4GXOH4,account,A_X07V4GXOH4,U_TZK3NY9V20,AU,api,full,active,0,0.0
A_YHGMLT43E9,account,A_YHGMLT43E9,U_YAR821UZVG,AU,api,basic,active,0,0.0
A_CMRYNHFKUG,account,A_CMRYNHFKUG,U_YAR821UZVG,AU,api,basic,active,0,0.0
A_DPLHRTC7I8,account,A_DPLHRTC7I8,U_WW4FYB8DAL,AU,api,basic,active,0,0.0
A_H6YYDCM3T1,account,A_H6YYDCM3T1,U_FYO1750CEH,GB,web,basic,active,0,0.0
A_LF6HPKYHEC,account,A_LF6HPKYHEC,U_LXSLG6MM1Z,FR,web,basic,active,0,0.0
A_AVFTXXZUFZ,account,A_AVFTXXZUFZ,U_XYVGIUI9KK,GB,mobile,none,active,0,0.0
A_LLOPEYP78B,account,A_LLOPEYP78B,U_HZLM72JEYN,FR,web,none,active,0,0.0
A_NVYX9T80SU,account,A_NVYX9T80SU,U_9382KKZMPJ,FR,web,basic,active,0,0.0
A_KP3ID6DNWT,account,A_KP3ID6DNWT,U_RHT7ZEWVIY,AU,api,basic,active,0,0.0
A_8G0ESOY2Z1,account,A_8G0ESOY2Z1,U_TWBOZD1AT7,US,api,none,active,0,0.0
A_IINELGVD3O,account,A_IINELGVD3O,U_O75RH8LX6D,DE,web,full,active,0,0.0
A_ZCP32SPXKK,account,A_ZCP32SPXKK,U_UT076G5G79,AU,api,full,active,0,0.0
A_8L5BQKMY6Q,account,A_8L5BQKMY6Q,U_OR7875AUD9,GB,mobile,basic,active,0,0.0
A_QKXKP43MDH,account,A_QKXKP43MDH,U_K9TR74QGEF,FR,mobile,full,active,0,0.0
A_I15H25ZHL0,account,A_I15H25ZHL0,U_QJG02U1G46,DE,mobile,full,active,0,0.0
A_Y3OC9G6MQ9,account,A_Y3OC9G6MQ9,U_QJG02U1G46,DE,mobile,full,active,0,0.0
A_P7UYA7ZP8P,account,A_P7UYA7ZP8P,U_QJG02U1G46,DE,mobile,full,active,0,0.0
A_OM4HN9R5XJ,account,A_OM4HN9R5XJ,U_3SDYGFLIJI,BR,api,basic,active,0,0.0
A_YA1JUSSHU1,account,A_YA1JUSSHU1,U_18K0AXYCEL,GB,api,none,active,0,0.0
A_A5TYASDWTT,account,A_A5TYASDWTT,U_18K0AXYCEL,GB,api,none,active,0,0.0
A_HYWFCDV3U4,account,A_HYWFCDV3U4,U_18K0AXYCEL,GB,api,none,active,0,0.0
A_T5EOA48QNP,account,A_T5EOA48QNP,U_OS6ZLE6KWH,GB,web,none,active,0,0.0
A_DBSZYLEOL2,account,A_DBSZYLEOL2,U_OS6ZLE6KWH,GB,web,none,active,0,0.0
A_ESIS69OP2C,account,A_ESIS69OP2C,U_EF0VOTQTXH,FR,mobile,full,active,0,0.0
A_HH41QKIIE8,account,A_HH41QKIIE8,U_I15CQZCUCT,GB,api,basic,active,0,0.0
A_YPG2MIRXC5,account,A_YPG2MIRXC5,U_SUFLSEHUDS,IN,web,full,active,0,0.0
A_L1P1DHDGDL,account,A_L1P1DHDGDL,U_3QSQCQ30O3,DE,web,basic,active,0,0.0
A_YOT59HE2AH,account,A_YOT59HE2AH,U_0UBMC97C7B,GB,api,none,active,0,0.0
A_AR9OWSLK0P,account,A_AR9OWSLK0P,U_O119XP9N56,BR,web,basic,active,0,0.0
A_KJFS59H9XD,account,A_KJFS59H9XD,U_NYXTXMGTT0,BR,web,basic,active,0,0.0
A_66S78KB2C1,account,A_66S78KB2C1,U_IAAKYTT3IM,FR,api,basic,active,0,0.0
A_CLXNTXLPUP,account,A_CLXNTXLPUP,U_J70E3P15AH,IN,api,none,active,0,0.0
A_T2K5CLF0XS,account,A_T2K5CLF0XS,U_J70E3P15AH,IN,api,none,active,0,0.0
A_J3ANQ6V097,account,A_J3ANQ6V097,U_DBVZB0OIH5,FR,mobile,basic,active,0,0.0
A_4N18153W56,account,A_4N18153W56,U_CSK30LVYLK,IN,web,full,active,0,0.0
A_HN4RJ4B09U,account,A_HN4RJ4B09U,U_FXHKC856WP,DE,api,basic,active,0,0.0
A_V601S9BAY6,account,A_V601S9BAY6,U_R97Y2LOFN1,DE,api,basic,active,0,0.0
A_WI0SRY7RY7,account,A_WI0SRY7RY7,U_R97Y2LOFN1,DE,api,basic,active,0,0.0
A_HXPO6ZD87R,account,A_HXPO6ZD87R,U_R4KZ36U8UE,FR,web,basic,active,0,0.0
A_R6WSSK4W0W,account,A_R6WSSK4W0W,U_IHX74D0GJY,CA,web,full,active,0,0.0
